interactor,degree_centrality,degree_centrality_norm,betweenness_centrality,betweenness_centrality_norm
DIP-383N,1,0.0015600624024961,0,0
DIP-1072N,1,0.0015600624024961,0,0
DIP-302N,1,0.0015600624024961,0,0
DIP-664N,3,0.0046801872074883,15,7.31279251170047e-05
DIP-267N,4,0.0062402496099844,6,2.92511700468019e-05
DIP-499N,1,0.0015600624024961,0,0
DIP-473N,1,0.0015600624024961,0,0
DIP-588N,2,0.0031201248049922,15,7.31279251170047e-05
DIP-164N,3,0.0046801872074883,13,6.33775351014041e-05
DIP-138N,5,0.0078003120124805,10,4.87519500780031e-05
DIP-446N,1,0.0015600624024961,0,0
DIP-1031N,1,0.0015600624024961,0,0
DIP-108N,12,0.0187207488299532,225.666666666667,0.00110016900676027
DIP-373N,1,0.0015600624024961,0,0
DIP-347N,3,0.0046801872074883,2.66666666666667,1.30005200208008e-05
DIP-358N,4,0.0062402496099844,32.6666666666667,0.00015925637025481
DIP-289N,3,0.0046801872074883,8.91666666666667,4.34704888195528e-05
DIP-74N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-52N,1,0.0015600624024961,0,0
DIP-476N,2,0.0031201248049922,18,8.77535101404056e-05
DIP-299N,3,0.0046801872074883,15.6666666666667,7.63780551222049e-05
DIP-1045N,3,0.0046801872074883,4.5,2.19383775351014e-05
DIP-947N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-488N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-516N,4,0.0062402496099844,28,0.000136505460218409
DIP-487N,1,0.0015600624024961,0,0
DIP-1N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-105N,1,0.0015600624024961,0,0
DIP-682N,3,0.0046801872074883,83,0.000404641185647426
DIP-180N,1,0.0015600624024961,0,0
DIP-555N,3,0.0046801872074883,5,2.43759750390016e-05
DIP-186N,1,0.0015600624024961,0,0
DIP-95N,2,0.0031201248049922,8,3.90015600624025e-05
DIP-63N,1,0.0015600624024961,0,0
DIP-517N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-788N,1,0.0015600624024961,0,0
DIP-607N,1,0.0015600624024961,0,0
DIP-217N,4,0.0062402496099844,10,4.87519500780031e-05
DIP-606N,3,0.0046801872074883,6.5,3.1688767550702e-05
DIP-448N,1,0.0015600624024961,0,0
DIP-305N,1,0.0015600624024961,0,0
DIP-480N,2,0.0031201248049922,8,3.90015600624025e-05
DIP-251N,2,0.0031201248049922,3,1.46255850234009e-05
DIP-784N,1,0.0015600624024961,0,0
DIP-527N,1,0.0015600624024961,0,0
DIP-653N,2,0.0031201248049922,12,5.85023400936037e-05
